feature_x,feature_y,region,target_value
-4.576541,-3.989273,华北,-5.746203
0.795312,2.724983,华东,3.232540
6.007208,-2.339975,华南,22.848461
-6.976859,3.862592,华北,-27.140288
0.151586,-1.594296,华东,6.108210
5.180564,1.489745,华南,11.850956
-0.883415,0.265007,华北,-1.362600
-0.818842,3.927694,华东,-5.093750
-4.120177,3.415185,华南,-20.637522
-5.410894,-2.428296,华北,-11.158827
1.605916,2.655510,华东,3.970246
2.720817,-1.563063,华南,9.874046
6.254308,0.200685,华北,21.005330
-4.730455,0.076477,华东,-9.797623
1.752896,3.710988,华南,-3.334032
7.069046,3.893933,华北,17.758634
-0.563732,-2.426035,华东,6.490254
-5.108167,-2.338690,华南,-14.356524
-6.906277,-3.988396,华北,-13.661985
-2.909838,0.645732,华东,-5.534374
3.702181,-1.802406,华南,14.009336
-2.522224,0.620145,华北,-6.890219
-5.288508,1.502853,华东,-16.236253
-2.506076,-2.150096,华南,-5.806206
-1.384084,-1.137142,华北,-1.493106
1.117544,3.128860,华东,3.257813
-3.186827,-2.520843,华南,-7.625699
6.966496,1.813649,华北,19.612296
7.194883,3.806500,华东,21.864445
-3.133339,1.180448,华南,-12.455612
-2.770415,3.987085,华北,-11.771876
1.321653,1.648371,华东,6.090408
1.343610,-1.551059,华南,6.480503
-3.551533,1.877319,华北,-12.200309
5.041405,-2.192913,华东,22.465050
-7.593238,-3.640892,华南,-19.375871
-2.499605,4.558527,华北,-13.713292
-7.028491,4.433561,华东,-25.342805
-7.367054,-0.570690,华南,-23.911185
-4.268985,3.424464,华北,-16.347865
-4.595679,-4.958807,华东,-2.402911
3.902042,-2.935805,华南,15.317702
-1.455647,4.324922,华北,-9.407334
-4.493532,1.968425,华东,-13.589172
-3.593195,-3.421957,华南,-6.493374
