treatment,region,replicate,score
方法甲,南区,40,32.176872
方法乙,北区,1,27.046060
方法乙,北区,2,24.848906
方法乙,北区,3,27.040193
方法乙,北区,4,27.601302
方法乙,北区,5,27.009187
方法乙,北区,6,25.046253
方法乙,北区,7,27.888256
方法乙,北区,8,26.023110
方法乙,北区,9,27.209226
方法乙,北区,10,29.719033
方法乙,北区,11,25.423276
方法乙,北区,12,27.585325
方法乙,北区,13,27.392301
方法乙,北区,14,26.543190
方法乙,北区,15,25.644950
方法乙,北区,16,25.693839
方法乙,北区,17,25.810229
方法乙,北区,18,27.050455
方法乙,北区,19,25.072629
方法乙,北区,20,23.819092
方法乙,北区,21,24.334998
方法乙,北区,22,26.084283
方法乙,北区,23,27.590017
方法乙,北区,24,25.978575
方法乙,北区,25,23.592581
方法乙,北区,26,25.462466
方法乙,北区,27,28.261788
方法乙,北区,28,26.506712
方法乙,北区,29,23.482986
方法乙,北区,30,27.602912
方法乙,北区,31,24.327417
方法乙,北区,32,25.561390
方法乙,北区,33,25.793939
方法乙,北区,34,27.782601
方法乙,北区,35,26.109040
方法乙,北区,36,25.023515
方法乙,北区,37,24.544330
方法乙,北区,38,27.418485
方法乙,北区,39,26.387002
方法乙,北区,40,22.133810
方法乙,南区,1,26.051624
方法乙,南区,2,32.189852
方法乙,南区,3,30.215182
方法乙,南区,4,30.538822
方法乙,南区,5,27.690380
方法乙,南区,6,29.596600
方法乙,南区,7,29.032933
方法乙,南区,8,28.087640
方法乙,南区,9,27.411117
方法乙,南区,10,28.260565
方法乙,南区,11,28.966694
方法乙,南区,12,29.108944
方法乙,南区,13,29.240442
方法乙,南区,14,29.848068
方法乙,南区,15,29.437168
方法乙,南区,16,27.160358
方法乙,南区,17,30.158823
方法乙,南区,18,27.636393
方法乙,南区,19,29.297050
方法乙,南区,20,32.051345
方法乙,南区,21,27.866911
方法乙,南区,22,29.169459
方法乙,南区,23,28.300385
方法乙,南区,24,25.594691
方法乙,南区,25,29.237198
方法乙,南区,26,31.403900
方法乙,南区,27,28.150679
方法乙,南区,28,27.853899
方法乙,南区,29,28.313984
方法乙,南区,30,28.035706
方法乙,南区,31,30.109936
方法乙,南区,32,28.919584
方法乙,南区,33,27.171747
方法乙,南区,34,27.434652
方法乙,南区,35,28.687724
方法乙,南区,36,28.840212
方法乙,南区,37,25.529784
方法乙,南区,38,27.859078
方法乙,南区,39,26.526272
方法乙,南区,40,30.500214
